资源维护||1||6231||14071||23093
资源维护->资源清查->分光分纤->搜索||10||34114||70942||117720
资源查询->地址预判||100||408||960||1422
资源查询->地址预判->地址查询||101||615||1416||2126
资源查询->地址预判->资源能力查询||102||226||520||929
资源查询->设备信息->光路查询||104||171052||355124||567694
资源查询->设备信息->光路查询->搜索功能||105||178347||371890||602998
资源查询->设备信息->光路查询->点光路选择||106||299||608||1065
资源查询->设备信息->光路查询->路由信息功能||107||2814||6123||10115
C网基站控制器资源信息->闲置下电||10739||0||0||2
资源查询->设备信息->光路查询->所属传输段或者电路||108||974||1964||3061
资源查询->设备信息->光路查询->扫码功能||109||2574||5369||8595
资源维护->资源清查->分光分纤->展示设备端口||11||64978||132784||214519
资源查询->设备信息->光路查询->打印||110||6289||17218||29121
资源查询->设备信息->光交接箱查询||111||5149||14005||26640
资源查询->设备信息->光交接箱查询->搜索功能||112||6426||19697||35961
资源查询->设备信息->光交接箱查询->点光交选择||113||5241||15974||28557
资源查询->设备信息->光交接箱查询->详情功能||114||850||2100||3888
资源查询->设备信息->光交接箱查询->粘贴二维码||115||0||1||8
资源查询->设备信息->光交接箱查询->扫码功能||116||987||5146||9521
资源查询->设备信息->光交接箱查询->打印||117||400||1153||2167
资源查询->设备信息->光交接箱查询->光分下联设备||118||1826||4422||7894
资源查询->设备信息->分光器查询||119||11821||27210||45982
C网基站控制器资源信息->全资源搜索||11994||0||0||1
C网基站控制器资源信息->全资源搜索->搜索||11995||0||0||2
C网基站控制器资源信息->全资源搜索->C网基站控制器资源信息||11996||0||0||1
C网基站控制器资源信息->全资源搜索->C网基站控制器资源信息->图片上传||11997||0||0||2
C网基站控制器资源信息->全资源搜索->C网基站控制器资源信息->二维码上传||11998||0||0||1
资源维护->资源清查->分光分纤->端口互换||12||1345||2597||4155
资源查询->设备信息->分光器查询->搜索功能||120||12567||31728||52294
资源查询->设备信息->分光器查询->点设备选择||121||9916||25606||42070
资源查询->设备信息->分光器查询->详情功能||122||9146||19413||31537
资源查询->设备信息->分光器查询->粘贴二维码||123||1||21||74
资源查询->设备信息->分光器查询->扫码功能||124||1403||6791||12202
资源查询->设备信息->分光器查询->打印||125||217||965||1894
资源查询->设备信息->分光器查询->光分下联设备||126||1025||2465||4090
资源查询->设备信息->分光器查询->业务挂测||127||385||848||1330
资源查询->设备信息->OLT查询||128||1||1||1
